mabsID	voyageID	voyage	masterID	maurymaster	vesselID	mauryvessel	mauryrig	mauryport	maurydest	mauryvol	maurypage	maurylink	mauryplaces	maurynotes	other_years
AB325	AV07511	Jefferson II : 1845-1847	AM4551	Smith	AS1698	Jefferson II	Ship	Sag Harbor, NY		53	1	https://catalog.archives.gov/id/454776880?objectPage=590		2nd part	1845 1846 1847
AB326	AV07566	John : 1844-1848	AM4256	Sanford, S.	AS0319	John	Ship		Bailey Islands	28	104	https://catalog.archives.gov/id/454771610?objectPage=122	https://catalog.archives.gov/id/454771610?objectPage=18		1844 1845 1846 1847 1848
AB327	AV07567	John : 1848-1851	AM0142	Anderson, Matthew	AS0319	John	Ship		Chile and Peru	27	v17	https://catalog.archives.gov/id/454770787?objectPage=598			1848 1849 1850 1851
AB328	AV07652	John and Elizabeth : 1840-1842	AM3438	Miller, Albert	AS1707	John and Elizabeth	Ship	New London, CT		41	127	https://catalog.archives.gov/id/454774255?objectPage=145			1840 1841 1842
AB329	AV07653	John and Elizabeth : 1842-1844	AM3438	Miller, A.	AS1707	John and Elizabeth	Ship	New London, CT		41	142	https://catalog.archives.gov/id/454774255?objectPage=161			1842 1843 1844
AB330	AV07656	John and Elizabeth : 1850-1855	AM0896	Chappell	AS1707	John and Elizabeth	Ship	New London, CT	Indian Ocean	35	v25	https://catalog.archives.gov/id/454772511?objectPage=799		sailed 16 Jul 1850	1850 1851 1852 1853 1854 1855
AB331	AV07742	John Howland : 1851-1854	AM0951	Taylor, A. G.	AS0321	John Howland	Ship		Pacific Ocean and Ochotsk Sea	118	v7	https://catalog.archives.gov/id/454791229?objectPage=175		begins 27 Feb 1853	1851 1852 1853 1854
AB332	AV07770	John Jay : 1845-1849	AM2279	Graham, John	AS1714	John Jay	Ship	Sag Harbor, NY		53	17	https://catalog.archives.gov/id/454776880?objectPage=607			1845 1846 1847 1848 1849
AB333	AV07821	John Wells : 1844-1846	AM2550	Hedges, J. W.	AS0333	John Wells	Ship	Sag Harbor, NY		53	52	https://catalog.archives.gov/id/454776880?objectPage=642			1844 1845 1846
AB334	AV07846	Jones : 1841-1842	AM4869	Sisson, Wm.	AS1723	Jones	Ship	New London, CT		90	185	https://catalog.archives.gov/id/454784753?objectPage=977			1841 1842
AB335	AV07860	Joseph Maxwell : 1833-1836	AM4239	Sampson	AS0353	Joseph Maxwell	Ship		Mahilla	60	45	https://catalog.archives.gov/id/454778531?objectPage=482	https://catalog.archives.gov/id/454778531?objectPage=436		1833 1834 1835 1836
AB336	AV07862	Joseph Maxwell : 1837-1838	AM4709	Stuart, Ansel N.	AS0353	Joseph Maxwell	Ship	New Bedford, MA	Island of St. Sebastian	154	164	https://catalog.archives.gov/id/454799208?objectPage=177	https://catalog.archives.gov/id/454799208?objectPage=19		1837 1838
AB337	AV07863	Joseph Maxwell : 1838-1840	AM4709	Stewart	AS0353	Joseph Maxwell	Ship		Table Bay	31	107	https://catalog.archives.gov/id/454771610?objectPage=820	https://catalog.archives.gov/id/454771610?objectPage=714		1838 1839 1840
AB338	AV07864	Joseph Maxwell : 1840-1843	AM2433	Harding	AS0353	Joseph Maxwell	Ship		Tombry?	126	147	https://catalog.archives.gov/id/454793109?objectPage=442	https://catalog.archives.gov/id/454793109?objectPage=296		1840 1841 1842 1843
AB339	AV07896	Josephine : 1843-1846	AM4167	Royes, T. W.	AS1728	Josephine	Ship	Sag Harbor, NY		394	168	https://catalog.archives.gov/id/454827471?objectPage=615			1843 1844 1845 1846
AB340	AV07934	Julian : 1847-1851	AM4938	Taber	AS0323	Julian	Ship		Bay of Islands	57	118	https://catalog.archives.gov/id/454777668?objectPage=783	https://catalog.archives.gov/id/454777668?objectPage=665		1847 1848 1849 1850 1851
AB341	AV07939	Julius Caesar : 1831-1832			AS1737	Julius Caesar	Ship	New London, CT		153	71	https://catalog.archives.gov/id/454798368?objectPage=711			1831 1832
AB344	AV07952	Julius Caesar : 1844-1847	AM3229	Lyon, Joshua	AS1737	Julius Caesar	Ship	Sag Harbor, NY		104	86	https://catalog.archives.gov/id/454787638?objectPage=861			1844 1845 1846 1847
AB345	AV08091	Kutusoff : 1841-1845	AM1404	Cox, William H.	AS0356	Kutusoff	Ship	New Bedford, MA	Pacific Ocean	15	1	https://catalog.archives.gov/id/454768152?objectPage=433	https://catalog.archives.gov/id/454768152?objectPage=429		1841 1842 1843 1844 1845
AB346	AV08093	Kutusoff : 1848-1851	AM4396	Slocum	AS0356	Kutusoff	Ship		New Zealand	525	136	https://catalog.archives.gov/id/454832854?objectPage=897	https://catalog.archives.gov/id/454832854?objectPage=757		1848 1849 1850 1851
AB347	AV08142	Lafayette : 1840-1844	AM2712	Howland, C.	AS0379	Lafayette	Ship	New Bedford, MA	Pacific Ocean	426, part 4	1	https://catalog.archives.gov/id/454830299?objectPage=267			1840 1841 1842 1843 1844
AB348	AV08155	Lagoda : 1843-1846	AM1275	Colt, Henry	AS0381	Lagoda	Ship	New Bedford, MA	Pacific Ocean	414	34	https://catalog.archives.gov/id/454829352?objectPage=112	https://catalog.archives.gov/id/454829352?objectPage=93		1843 1844 1845 1846
AB349	AV08158	Lagoda : 1850-1853	AM5045	Tobey, A. S.	AS0381	Lagoda	Ship	New Bedford, MA	Arctic Ocean	114	v18	https://catalog.archives.gov/id/454790371?objectPage=176			1850 1851 1852 1853
AB350	AV08208	Lancaster : 1848-1851	AM0132	Almy	AS0370	Lancaster	Ship		Mew Bay	160	109	https://catalog.archives.gov/id/454800028?objectPage=530	https://catalog.archives.gov/id/454800028?objectPage=421		1848 1849 1850 1851
AB351	AV08266	Laurens : 1845-1848	AM1721	Eldridge, A.	AS1776	Laurens	Bark	Sag Harbor, NY		384	36	https://catalog.archives.gov/id/454825576?objectPage=514		Continued from vol. 6, commencing 25 August 1846	1845 1846 1847 1848
AB352	AV08280	Leander : 1841-1843	AM0240	Bailey, William G.	AS1781	Leander	Ship	Mystic, CT		55	41	https://catalog.archives.gov/id/454777668?objectPage=299			1841 1842 1843
AB353	AV08281	Leander : 1843-1845	AM0208	Avery, Jas. A.	AS1781	Leander	Bark	Mystic, CT		55	55	https://catalog.archives.gov/id/454777668?objectPage=313		sailed 3 Jul 1843	1843 1844 1845
AB354	AV08282	Leander : 1845-1847	AM0585	Brereton, Jos.	AS1781	Leander	Bark	Mystic, CT		55	74	https://catalog.archives.gov/id/454777668?objectPage=332			1845 1846 1847
AB355	AV08286	Leander : 1850-1852	AM2241	Glover, Benjamin, Jr.	AS1781	Leander	Bark	Sag Harbor, Ny / Mystic, CT	Fayal, Western Islands	27	v21	https://catalog.archives.gov/id/454770787?objectPage=707			1850 1851 1852
AB356	AV08465	Lion : 1841-1844			AS2652	Lion	Ship	Providence, RI		36	1	https://catalog.archives.gov/id/454773400?objectPage=17		Continued from volume 14 commencing 23 April 1844	1841 1842 1843 1844
AB357	AV08465	Lion : 1841-1844			AS2652	Lion	Ship	Providence, RI		55	168	https://catalog.archives.gov/id/454777668?objectPage=426		sailed 7 Jun 1841	1841 1842 1843 1844
AB358	AV08498	Liverpool II : 1844-1847	AM5341	Wilcox	AS0383	Liverpool II	Ship		Mowee	127	33	https://catalog.archives.gov/id/454793109?objectPage=536	https://catalog.archives.gov/id/454793109?objectPage=502		1844 1845 1846 1847
AB359	AV08523	Loan : 1838-1841	AM3320	Marchant, H. H.	AS2657	Loan	Ship	Edgartown, MA	Pacific Ocean	139	31	https://catalog.archives.gov/id/454795781?objectPage=250	https://catalog.archives.gov/id/454795781?objectPage=217	sailed 30 May 1838	1838 1839 1840 1841
AB360	AV08525	Logan : 1830-1833	AM1894	Fisher, S. C.	AS0371	Logan	Ship		Paita	93	74	https://catalog.archives.gov/id/454785746?objectPage=439	https://catalog.archives.gov/id/454785746?objectPage=364		1830 1831 1832 1833
AB361	AV08528	Logan : 1838-1841	AM0600	Briggs	AS0371	Logan	Ship		Otaheita	71	1	https://catalog.archives.gov/id/454781080?objectPage=386	https://catalog.archives.gov/id/454781080?objectPage=384		1838 1839 1840 1841
AB362	AV08544	London Packet II : 1844-1848	AM2748	Howland	AS0374	London Packet II	Bark		Mongauna Bay	101	141	https://catalog.archives.gov/id/454787638?objectPage=283	https://catalog.archives.gov/id/454787638?objectPage=141		1844 1845 1846 1847 1848
AB363	AV08625	Lowell : 1843-1845	AM0431	Benjamin, Geo. G.	AS1812	Lowell	Ship	New London, CT		159	146	https://catalog.archives.gov/id/454800028?objectPage=364			1843 1844 1845
AB364	AV08626	Lowell : 1845-1848	AM0431	Benjamin, G. G.	AS1812	Lowell	Ship	New London, CT		159	162	https://catalog.archives.gov/id/454800028?objectPage=379			1845 1846 1847 1848
AB365	AV08683	Luminary : 1840-1843			AS1819	Luminary	Ship	Warren, RI		65	6	https://catalog.archives.gov/id/454779349?objectPage=682		sailed 7 Jan 1840. returned 23 Jun 1843	1840 1841 1842 1843
AB366	AV08685	Luminary : 1848-1852	AM3619	Norton, John O.	AS1819	Luminary	Ship	Warren, RI	Cape de Verdes	38	v7	https://catalog.archives.gov/id/454773400?objectPage=308		includes sailing instructions	1848 1849 1850 1851 1852
AB367	AV08694	Lydia : 1797-1799	AM1912	Fitch	AS1823	Lydia	Ship		Port Rodney	99	91	https://catalog.archives.gov/id/454786670?objectPage=862	https://catalog.archives.gov/id/454786670?objectPage=773		1797 1798 1799
AB368	AV08757	Magnet : 1829-1831	AM2116	Gardner	AS1829	Magnet	Ship		Paita	20	32	https://catalog.archives.gov/id/454768988?objectPage=643	https://catalog.archives.gov/id/454768988?objectPage=610		1829 1830 1831
AB369	AV08758	Magnet : 1831-1835	AM0681	Brown, Thos.	AS1829	Magnet	Ship		Paita	31	151	https://catalog.archives.gov/id/454771610?objectPage=864	https://catalog.archives.gov/id/454771610?objectPage=714		1831 1832 1833 1834 1835
AB370	AV08768	Magnolia : 1845-1848	AM4371	Simmons	AS0419	Magnolia	Ship		Stewards Island	126	105	https://catalog.archives.gov/id/454793109?objectPage=400	https://catalog.archives.gov/id/454793109?objectPage=296		1845 1846 1847 1848
AB371	AV08785	Maine : 1838-1840	AM3235	Makee	AS1832	Maine	Ship		Augustines Bay	525	44	https://catalog.archives.gov/id/454832854?objectPage=803	https://catalog.archives.gov/id/454832854?objectPage=756		1838 1839 1840
AB372	AV08786	Maine : 1840-1842	AM3235	Makee	AS1832	Maine	Ship		King Georges Sound	525	25	https://catalog.archives.gov/id/454832854?objectPage=783	https://catalog.archives.gov/id/454832854?objectPage=756		1840 1841 1842
AB373	AV08792	Majestic : 1848-1851	AM2356	Hall, Worthen	AS0453	Majestic		New Bedford, MA	the North West	156	v30	https://catalog.archives.gov/id/454799208?objectPage=394			1848 1849 1850 1851
AB374	AV08793	Majestic : 1851-1853	AM3818	Percival, Thomas	AS0453	Majestic	Ship	New Bedford, MA	Arctic Ocean	29	v7	https://catalog.archives.gov/id/454771610?objectPage=268			1851 1852 1853
AB375	AV08805	Malta : 1854-1856			AS0470	Malta	Bark			175	v7	https://catalog.archives.gov/id/454802569?objectPage=597		Kept by Wm. H. Baldwin, mate	1854 1855 1856
AB376	AV08869	Marcia : 1833-1835	AM1475	Cushman	AS0459	Marcia	Ship	Fairhaven, MA	Table Bay	102	104	https://catalog.archives.gov/id/454787638?objectPage=446	https://catalog.archives.gov/id/454787638?objectPage=341		1833 1834 1835
AB377	AV08870	Marcia : 1835-1836	AM1475	Cushman	AS0459	Marcia	Ship			102	172	https://catalog.archives.gov/id/454787638?objectPage=514	https://catalog.archives.gov/id/454787638?objectPage=341		1835 1836
AB378	AV08870	Marcia : 1835-1836	AM1475	Cushman, Benj.	AS0459	Marcia	Ship	Fairhaven, MA	Augustine Bay	141	184	https://catalog.archives.gov/id/454795781?objectPage=823	https://catalog.archives.gov/id/454795781?objectPage=639		1835 1836
AB379	AV08871	Marcia : 1837-1838	AM1475	Cushman	AS0459	Marcia	Ship		Table Bay	58	81	https://catalog.archives.gov/id/454778531?objectPage=98	https://catalog.archives.gov/id/454778531?objectPage=16		1837 1838
AB380	AV08873	Marcia : 1841-1844	AM3502	Mosher	AS0459	Marcia	Ship		Nickol Bay	158	169	https://catalog.archives.gov/id/454800028?objectPage=188	https://catalog.archives.gov/id/454800028?objectPage=18		1841 1842 1843 1844
AB381	AV08896	Marcus : 1829-1830	AM2292	Green, B. R.	AS1842	Marcus	Ship	Sag Harbor, NY		68	43	https://catalog.archives.gov/id/454780225?objectPage=466			1829 1830
AB382	AV08910	Marcus : 1830-1831	AM2292	Green, B. R.	AS1842	Marcus	Ship	Sag Harbor, NY		68	54	https://catalog.archives.gov/id/454780225?objectPage=477			1830 1831
AB383	AV08897	Marcus : 1831-1832	AM2292	Green, B. R.	AS1842	Marcus	Ship	Sag Harbor, NY		68	64	https://catalog.archives.gov/id/454780225?objectPage=487			1831 1832
AB384	AV08884	Marcus : 1837-1840	AM4325	Shearman, Obed	AS1841	Marcus	Ship		Emeo	151	73	https://catalog.archives.gov/id/454798368?objectPage=311	https://catalog.archives.gov/id/454798368?objectPage=237		1837 1838 1839 1840
AB385	AV08906	Marcus : 1840-1841	AM3152	Loper, D.	AS1842	Marcus	Bark	Sag Harbor, NY		94	53	https://catalog.archives.gov/id/454785746?objectPage=620	https://catalog.archives.gov/id/454785746?objectPage=568		1840 1841
AB386	AV08907	Marcus : 1841-1843	AM3152	Loper, D.	AS1842	Marcus	Bark	Sag Harbor, NY		94	53	https://catalog.archives.gov/id/454785746?objectPage=635	https://catalog.archives.gov/id/454785746?objectPage=568	returned 13 July 1843	1841 1842 1843
AB387	AV08908	Marcus : 1843	AM4327	Sherman, S. H.	AS1842	Marcus	Bark	Sag Harbor, NY		94	53	https://catalog.archives.gov/id/454785746?objectPage=654	https://catalog.archives.gov/id/454785746?objectPage=568		1843
AB388	AV08915	Marengo : 1848-1851	AM1587	Devoll	AS0461	Marengo	Ship		Byrons Bay	150	129	https://catalog.archives.gov/id/454798368?objectPage=150	https://catalog.archives.gov/id/454798368?objectPage=18		1848 1849 1850 1851
AB389	AV09004	Maria : 1838-1840	AM4035	Raymond	AS0231	Maria	Bark		Simons Bay	123	187	https://catalog.archives.gov/id/454792177?objectPage=423	https://catalog.archives.gov/id/454792177?objectPage=238		1838 1839 1840
AB390	AV09006	Maria : 1843-1846	AM1169	Coffin	AS0231	Maria	Bark		Johanna	525	59	https://catalog.archives.gov/id/454832854?objectPage=818	https://catalog.archives.gov/id/454832854?objectPage=757		1843 1844 1845 1846
AB391	AV09021	Maria Theresa : 1831-1835	AM1425	Crocker, H.	AS0411	Maria Theresa	Ship		Payta	126	71	https://catalog.archives.gov/id/454793109?objectPage=366	https://catalog.archives.gov/id/454793109?objectPage=295		1831 1832 1833 1834 1835
AB392	AV09027	Maria Theresa : 1842-1844	AM4933	Taber	AS0411	Maria Theresa	Ship	New Bedford, MA	Otaheita	108	94	https://catalog.archives.gov/id/454788615?objectPage=688	https://catalog.archives.gov/id/454788615?objectPage=594		1842 1843 1844
AB393	AV09030	Maria Theresa : 1847-1851	AM4920	?	AS0411	Maria Theresa	Ship		New Zealand	132	147	https://catalog.archives.gov/id/454794004?objectPage=671	https://catalog.archives.gov/id/454794004?objectPage=524		1847 1848 1849 1850 1851
AB394	AV09038	Mariner : 1832-1836	AM1249	Coleman	AS1860	Mariner	Ship		St. Catharines	93	121	https://catalog.archives.gov/id/454785746?objectPage=486	https://catalog.archives.gov/id/454785746?objectPage=364		1832 1833 1834 1835 1836
AB395	AV09063	Mars : 1845-1848	AM0510	Burden	AS0456	Mars	Bark		Augustine Bay	127	62	https://catalog.archives.gov/id/454793109?objectPage=565	https://catalog.archives.gov/id/454793109?objectPage=502		1845 1846 1847 1848
AB396	AV09089	Martha : 1836-1838	AM1853	Fisher	AS1869	Martha	Ship		Augustine Bay	58	108	https://catalog.archives.gov/id/454778531?objectPage=125	https://catalog.archives.gov/id/454778531?objectPage=17		1836 1837 1838
AB397	AV09090	Martha : 1838-1841	AM4951	Taber	AS1869	Martha	Ship		Bay of Islands	79	9	https://catalog.archives.gov/id/454782948?objectPage=27	https://catalog.archives.gov/id/454782948?objectPage=17		1838 1839 1840 1841
AB398	AV09092	Martha : 1845-1848	AM4547	Smith	AS1869	Martha	Ship		Valparaiso	60	168	https://catalog.archives.gov/id/454778531?objectPage=605	https://catalog.archives.gov/id/454778531?objectPage=437		1845 1846 1847 1848
AB399	AV09170	Mary : 1836-1838	AM3771	Pease, Henry	AS1895	Mary	Ship	Edgartown, MA	Indian Ocean	408	119	https://catalog.archives.gov/id/454828811?objectPage=93	https://catalog.archives.gov/id/454828811?objectPage=92		1836 1837 1838
AB400	AV09171	Mary : 1838-1840	AM1860	Fisher, Francis	AS1895	Mary	Ship	Edgartown, MA	Valdivia	134	109	https://catalog.archives.gov/id/454794942?objectPage=129	https://catalog.archives.gov/id/454794942?objectPage=19		1838 1839 1840
AB401	AV09172	Mary : 1841-1844	AM0192	Atkins, William, Jr.	AS1895	Mary	Ship	Edgartown, MA	Pacific Ocean	414	149	https://catalog.archives.gov/id/454829352?objectPage=171	https://catalog.archives.gov/id/454829352?objectPage=94		1841 1842 1843 1844
AB402	AV09174	Mary : 1844-1848			AS1895	Mary	Ship			426 part 6	v4	https://catalog.archives.gov/id/454830299?objectPage=469	https://catalog.archives.gov/id/454830299?objectPage=441	continuation. begins 18 Sep 1845	1844 1845 1846 1847 1848
AB403	AV09258	Mary and Susan : 1844-1847	AM2765	Hubbard, George	AS1875	Mary and Susan	Ship	Stonington, CT		89	73	https://catalog.archives.gov/id/454784753?objectPage=685		sailed 30 Jul 1844	1844 1845 1846 1847
AB404	AV09262	Mary Ann : 1829-1830	AM5488	Worth, Cyrus B.	AS0415	Mary Ann	Ship	Edgartown, MA	South Atlantic	134	190	https://catalog.archives.gov/id/454794942?objectPage=210	https://catalog.archives.gov/id/454794942?objectPage=19	sailed 25 Jun 1829	1829 1830
AB405	AV09476	Mayflower : 1839-1841	AM1275	Colt, H.	AS0418	Mayflower	Ship	New Bedford, MA	Pacific Ocean	409	176	https://catalog.archives.gov/id/454828811?objectPage=202	https://catalog.archives.gov/id/454828811?objectPage=111		1839 1840 1841
AB406	AV09477	Mayflower : 1841-1844	AM2184	Gifford	AS0418	Mayflower	Ship		King Geo. Sound	123	159	https://catalog.archives.gov/id/454792177?objectPage=396	https://catalog.archives.gov/id/454792177?objectPage=238		1841 1842 1843 1844
AB407	AV09478	Mayflower : 1844-1847	AM2184	Gifford	AS0418	Mayflower	Ship			58	170	https://catalog.archives.gov/id/454778531?objectPage=187	https://catalog.archives.gov/id/454778531?objectPage=17		1844 1845 1846 1847
AB408	AV09485	McDonough : 1832-1834		Cutter, [?]. H.	AS1912	McDonough	Schr	New London, CT	Sealing	56	182	https://catalog.archives.gov/id/454777668?objectPage=641		sailed 13 Sep 1832	1832 1833 1834
AB409	AV09501	Mechanic : 1834-1838	AM4866	Pease, V., Jr.	AS1915	Mechanic	Ship		Bay of Islands	28	15	https://catalog.archives.gov/id/454771610?objectPage=34	https://catalog.archives.gov/id/454771610?objectPage=17	begins 9 September 1836 South Atlantic. Not same master as AOWV	1834 1835 1836 1837 1838
AB410	AV09549	Mentor : 1843-1845		Steward, Jas. M.	AS1923	Mentor	Ship	New London, CT		59	127	https://catalog.archives.gov/id/454778531?objectPage=355			1843 1844 1845
AB411	AV09564	Mercator : 1836-1840	AM3366	Mayhew, Edward	AS0408	Mercator	Ship	New Bedford, MA	Copang	57	85	https://catalog.archives.gov/id/454777668?objectPage=750	https://catalog.archives.gov/id/454777668?objectPage=665		1836 1837 1838 1839 1840
AB412	AV09565	Mercator : 1840-1843	AM1747	Delano, Obed	AS0408	Mercator	Ship		Pacific Ocean	31	1	https://catalog.archives.gov/id/454771610?objectPage=715	https://catalog.archives.gov/id/454771610?objectPage=713		1840 1841 1842 1843
AB413	AV09578	Mercury : 1833-1836	AM2473	Haskell	AS0412	Mercury	Ship	New Bedford, MA		108	49	https://catalog.archives.gov/id/454788615?objectPage=643	https://catalog.archives.gov/id/454788615?objectPage=592		1833 1834 1835 1836
AB414	AV09579	Mercury : 1837-1840	AM2473	Haskell	AS0412	Mercury	Ship		Falkland Islands, Payta	19	71	https://catalog.archives.gov/id/454768988?objectPage=482	https://catalog.archives.gov/id/454768988?objectPage=411		1837 1838 1839 1840
AB415	AV09581	Mercury : 1841-1844	AM2473	Haskell, F. D.	AS0412	Mercury	Ship	New Bedford, MA	Pacific Ocean	426, part 4	130	https://catalog.archives.gov/id/454830299?objectPage=333		returned 2 Aug 1844	1841 1842 1843 1844
AB416	AV09647	Merrimack : 1844-1847	AM1579	Sestin, G.	AS1935	Merrimack	Ship	New London, CT		89	8	https://catalog.archives.gov/id/454784753?objectPage=621		begins 21 Nov 1845 near Hawaii	1844 1845 1846 1847
AB417	AV09674	Metacom : 1845-1848	AM4483	Smith, F. C.	AS0450	Metacom	Ship		Valparaiso	109	103	https://catalog.archives.gov/id/454789411?objectPage=120	https://catalog.archives.gov/id/454789411?objectPage=17		1845 1846 1847 1848
AB418	AV09682	Meteor : 1839-1840	AM3092	Lester, Austin M.	AS1937	Meteor	Ship	Groton, CT		39	171	https://catalog.archives.gov/id/454773400?objectPage=592		sailed 7 Aug 1839	1839 1840
AB419	AV09683	Meteor : 1840-1842	AM3092	Lester, Austin Miner	AS1937	Meteor	Ship	Groton, CT		39	179	https://catalog.archives.gov/id/454773400?objectPage=600		sailed 14 August 1840. returned 9 May 1842	1840 1841 1842
AB420	AV09684	Meteor : 1842-1844	AM0772	Burrows, William T.	AS1937	Meteor	Ship	Groton, CT		39	195	https://catalog.archives.gov/id/454777668?objectPage=259		continued from vol. 18. returned 18 Jun 1844	1842 1843 1844
AB421	AV09684	Meteor : 1842-1844	AM0772	Burrows, William T.	AS1937	Meteor	Ship	Groton, CT		39	195	https://catalog.archives.gov/id/454773400?objectPage=616		sailed 15 Jul 1842. continued in vol. 34	1842 1843 1844
AB422	AV09685	Meteor : 1844-1847	AM3093	Lester, Franklin	AS1937	Meteor	Ship	Groton, CT		55	1	https://catalog.archives.gov/id/454777668?objectPage=274		sailed 14 Sep 1844	1844 1845 1846 1847
AB423	AV09770	Milo : 1846-1849	AM3899	Plaskett, Henry Riddell	AS0400	Milo	Ship	New Bedford, MA		123	72	https://catalog.archives.gov/id/454792177?objectPage=270	https://catalog.archives.gov/id/454792177?objectPage=238		1846 1847 1848 1849
AB424	AV09771	Milo : 1849-1851	AM4598	Soule	AS0400	Milo	Ship			150	193	https://catalog.archives.gov/id/454798368?objectPage=214	https://catalog.archives.gov/id/454798368?objectPage=18		1849 1850 1851
AB425	AV09778	Milton : 1836-1839	AM5113	Tuckerman	AS0420	Milton	Ship		St. Carlos	127	83	https://catalog.archives.gov/id/454793109?objectPage=587	https://catalog.archives.gov/id/454793109?objectPage=503		1836 1837 1838 1839
AB426	AV09779	Milton : 1839-1842	AM5113	Tuckerman	AS0420	Milton	Ship		Talcahuano	127	107	https://catalog.archives.gov/id/454793109?objectPage=611	https://catalog.archives.gov/id/454793109?objectPage=503		1839 1840 1841 1842
AB427	AV09780	Milton : 1842-1844	AM3097	Lewis	AS0420	Milton	Ship		Talcahuano	127	131	https://catalog.archives.gov/id/454793109?objectPage=633	https://catalog.archives.gov/id/454793109?objectPage=503		1842 1843 1844
AB428	AV09833	Minerva : 1799-1801	AM1912	Fitch	AS1948	Minerva	Ship		Walwick Bay	158	192	https://catalog.archives.gov/id/454800028?objectPage=211	https://catalog.archives.gov/id/454800028?objectPage=18		1799 1800 1801
AB429	AV09834	Minerva : 1801-1802	AM1912	Fitch	AS1948	Minerva	Ship		Walwick Bay	102	191	https://catalog.archives.gov/id/454787638?objectPage=533	https://catalog.archives.gov/id/454787638?objectPage=342		1801 1802
AB430	AV09905	Minerva Smyth : 1820-1823	AM3400	McKenzie	AS0410	Minerva Smyth	Ship			426, pt 3	v2a	https://catalog.archives.gov/id/454830299?objectPage=175	https://catalog.archives.gov/id/454830299?objectPage=174		1820 1821 1822 1823
AB431	AV09906	Minerva Smyth : 1824-1827	AM3400	McKenzie	AS0410	Minerva Smyth	Ship			426, pt 3	v2b	https://catalog.archives.gov/id/454830299?objectPage=184	https://catalog.archives.gov/id/454830299?objectPage=183		1824 1825 1826 1827
AB432	AV09907	Minerva Smyth : 1827-1830	AM3400	McKenzie, D.	AS0410	Minerva Smyth	Ship			426, pt 3	v2c	https://catalog.archives.gov/id/454830299?objectPage=196	https://catalog.archives.gov/id/454830299?objectPage=195		1827 1828 1829 1830
AB433	AV09911	Minerva Smyth : 1836-1839	AM1423	Crocker	AS0410	Minerva Smyth	Ship	New Bedford, MA	Pacific	426, part 4	47	https://catalog.archives.gov/id/454830299?objectPage=291		Different master in AOWV. sailed 7 Oct 1836. returned  8 Jul 1839	1836 1837 1838 1839
AB434	AV09932	Mobile : 1844-1848	AM0753	Bunker	AS0442	Mobile	Ship	New Bedford, MA	Pacific	426, part 4	81	https://catalog.archives.gov/id/454830299?objectPage=308		Different master in AOWV. sailed 2 Aug 1844	1844 1845 1846 1847 1848
AB435	AV09961	Monmouth : 1843-1846	AM2549	Hedges, H. B.	AS1962	Monmouth	Bark	Cold Spring Harbor, NY		94	14	https://catalog.archives.gov/id/454785746?objectPage=581	https://catalog.archives.gov/id/454785746?objectPage=568		1843 1844 1845 1846
AB436	AV09975	Montano : 1845-1849	AM4215	Russell	AS1965	Montano	Ship		Talcahuano	525	84	https://catalog.archives.gov/id/454832854?objectPage=845	https://catalog.archives.gov/id/454832854?objectPage=757		1845 1846 1847 1848 1849
AB437	AV09937	Moctezuma : 1844-1847	AM5070	Tower	AS0448	Moctezuma	Ship		Mowee	60	99	https://catalog.archives.gov/id/454778531?objectPage=536	https://catalog.archives.gov/id/454778531?objectPage=437		1844 1845 1846 1847
AB438	AV10117	Mount Vernon : 1836-1837	AM1390	Covell	AS0437	Mount Vernon	Ship		St. Augustines Bay	128	127	https://catalog.archives.gov/id/454793109?objectPage=820	https://catalog.archives.gov/id/454793109?objectPage=694		1836 1837
AB439	AV10116	Mount Vernon : 1844-1848	AM1250	Coleman	AS1986	Mount Vernon	Ship			2	133	https://catalog.archives.gov/id/454764819?objectPage=338	https://catalog.archives.gov/id/454764819?objectPage=204		1844 1845 1846 1847 1848
AB440	NV145	Mozambique : 1833 - 1836	NM142	Cox, Wm.	NS046	Mozambique	Ship	St. John, N. B.		404	166	https://catalog.archives.gov/id/454828273?objectPage=110		sailed 21 Oct 1833. returned 1 Feb 1836	1833 1834 1835 1836
AB441	AV10222	Nantasket : 1843-1847	AM4534	Smith, P.	AS2011	Nantasket	Ship	New London, CT		89	20	https://catalog.archives.gov/id/454784753?objectPage=633			1843 1844 1845 1846 1847
AB442	AV10291	Nathaniel P. Tallmadge : 1836-1840	AM3929	Post, Francis	AS2020	Nathaniel P. Tallmadge	Ship	New York	Pacific Ocean	154	89	https://catalog.archives.gov/id/454799208?objectPage=106	https://catalog.archives.gov/id/454799208?objectPage=18		1836 1837 1838 1839 1840
AB443	AV10329	Navigator : 1841-1845	AM1857	Fisher	AS2023	Navigator	Ship		St. Carlos	21	165	https://catalog.archives.gov/id/454769793?objectPage=182	https://catalog.archives.gov/id/454769793?objectPage=17		1841 1842 1843 1844 1845
AB444	AV10343	Navy : 1840-1843	AM0624	Brock	AS0495	Navy	Ship		Chatham I.	19	161	https://catalog.archives.gov/id/454768988?objectPage=573	https://catalog.archives.gov/id/454768988?objectPage=411		1840 1841 1842 1843
AB445	AV10332	Navy : 1843-1845	AM4483	Smith, F.	AS0495	Navy	Ship	New Bedford, MA	NW coast of America	410	111	https://catalog.archives.gov/id/454828811?objectPage=276	https://catalog.archives.gov/id/454828811?objectPage=220	sailed 12 Sep 1843	1843 1844 1845
